label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Data Analyst,Leading Specialist Financial Reports and Analysis Department,Psychologist,Web Developer,IT Specialist,Customer Relationship Manager,Radio and Electronic Engineer,Secretary,Secretary Registry Clerk,Energy Specialist,Monitoring Specialist,0.9556738523164497
Software Developer 3,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Creative Manager,Accountant,Language Assistant for EU Twinning Project,Project Coordinator for Caring for Equality Project,0.0426395403995151
Software Developer 1,Local Marketing Manager,Visual Basic Senior Software Developer,Chief Accountant,Programme and Finance Assistant,Deputy Coordinator: Support to Twinning and TAIEX Operations in,National Grape Genetic Resources Conservation Specialist,Local Expert for Drug Information Epidemiology Comp1nt of,Intern for UN Resident Coordinators (UNRC) Unit,Secretary Referent,Insurance Specialist,0.6390660412164655
QA Specialist,Multimedia Journalist,Legal Assistant,"Software Engineer, Design to Silicon Division",Advocacy and Transparency Specialist,Chief Accountant,Medical Representative in Yerevan,Account Supervisor,Manager Assistant,Technician,Secretary,0.9827122753386391
Project Manager,Non Cash Operations Department Specialist,Java Developer,Web Designer,Medical Representative,Ne2rk Administrator,"Deputy Chief of State Service of Food Safety, SNCOs and",Chain Store Manager,Credit and Debt Manager,Manager (Traffic Account),Head of Retail Sales Unit,0.8170031096821799
Software Developer 2,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.37611342433985134
Administrative Secretary,Office Manager,PR Manager,Chief Specialist Applied Systems Administrator Computer,Store manager,Support Specialist,FronA_PHONENUMBERd Development Team Lead,Sales Manager Preseller,Representative,Call Center Supervisor,Graphic Designer,0.39709060243503924
QA Engineer,Sales Manager Preseller,Import Manager,Java Software Developer,Programmer,International M1y Transfer Specialist,Senior Circuit Design Engineer,Sales Manager Preseller,Contractor Intern,Recruitment Assistant,Web Designer Developer,0.46555631687134347
Program Development Officer,IT Support Specialist,Tourism Manager,Journalist,Sales and Distribution Manager,CEO Assistant Receptionist,Senior C++ Engineer,Sales Engineer,Ne2rk Administrator,Project Assistant,Brand Manager,0.39730142834554366
Program Budgeting Trainer,Interaction Designer,Postal Financial Services (PFS) Project and Change Division Head,Communications Senior Project Coordinator Expert,Office Administrator,Junior Data Analysis and Reporting Engineer,Advertising Manager,Project Manager,Marketing Manager,Logistics Customs Services Agent,"Accountant, Accounting Department",0.3200337321456807
Projects Management Trainer,Editor,Database Programmer,C++ Developer,Project Manager,PR Specialist,Web Developer,Seller Manager,Radio Ne2rk Administration Division Engineer,SQA Engineer,Marketing Specialist,0.6236757497496442
Accounting Standards Trainer,Senior Auditor,Senior Java Tester,Technical Writer,IT Specialist,Accountant Cashier,QA Engineer,"Short term Expert, EU Targeted Initiative for Armenia","Developer, Engineering Services and Operations Team",Accountant,Sales Director,0.9168818847836399
State Investments Management Trainer,Food Safety Regulatory Reform Consultant,Chief Specialist on Operational Risk Analysis and Expertise,Internet Assessor,Contractor Intern,Financial Specialist,AutoCAD Designer,Medical Representative,Native Near Native English Teacher,Corporate Banking Manager,Mid Level Software Developer,0.009170927106941442
"ASP.NET, C# Software Developers",Translator Interpreter,Commercial Representative,Legal Agricultural Cooperatives Consultant,"Video Surveillance, Security and Fire Systems Specialist",Database Development Team Leader Fraud and Revenue Assurance,Chief Accountant,Making Markets Work for Poor (M4P) Approach,IT Support Specialist,Software Developer,Secretary Receptionist,0.894323512359669
Social Worker,IELTS Examiner,Cashier at Entertainment Z1,Programmer,Sales Manager Preseller,Rural Credit Advisor,Senior Circuit Design Engineer,Sales Manager Preseller,General French Language Teacher,Claims Assistant,Software Architect Team Lead,0.4008327623464924
Medical Representative,Graphic Designer,"ASP.NET, C# Software Developers",Embedded Linux BSP Engineer,Software Test Engineer,Senior ETL Informatica Developer,Angular JS Developer,Purchasing Specialist,Medical Representative,Bio Statistician Statistical Analyst,Java Developer,0.5726558794075792
Information Manager,Logistics Assistant (ICS5 GS5),Human Resources Director,Receptionist Inventory Clerk,Monitoring and Evaluation Specialist,Ticketing Agent,Treasurer,Procurement and Administrative Manager,Executive Assistant,Journalism Trainer,Programmer,0.06630474885363412
Senior Java Tester,Supermarket Deputy CEO,PR & Marketing Manager,Chief Financial Officer,"Program Director Chief of Party, Business & Economics Program,",Administrative Manager,Design Engineer,Graphic Designer,Mathematics Teacher,ASIC Design Engineer,Electrical Appliance Store Director,0.058556896642597375
Guest Relations Coordinator,Senior Java Tester,Hotel Manager,Installation Supervisor,Java Developer,"Senior IT Ne2rk Administrator, Administration Unit, Ne2rk",Internet Assessor,AutoCAD Designer,System Administrator,Local Government Finance Technical Advisor,Finance Associate,0.7043693669952037
Senior J2EE Core Developer,Web Site Developer,Seller Consultant,Senior Quality Assurance Engineer,Micro and Small Loans Team Leader,Web Developer,Creative Manager,QA Senior Software Test Developer,"Chief Executive Officer of ""North South Road Corridor Investment",Administrative Permits and Negotiation Specialist,Technical Support Operator,0.10045854635534707
Quality Assurance Specialist,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.7330943973014283
Production Supervisor,"Chief Specialist, Liquidity and Currency Positions Division",Gavar Area Development Program Administrative Officer,C# .NET Backend Developer,Banking Expert,Head of Internal Audit Department,Climate Change Analyst,Product Support Manager,Deputy Chief Engineer,Operations Manager,Quality Support Specialist,0.10051125283297317
Procurement Specialist,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Credit and Debt Manager,Energy Specialist,Business Advisor Non Farm Rural Enterprises,"Merchants Acquiring Division Specialist, Card Center",Finance Associate,0.2700679913561377
Ne2rk Systems Engineer,Public Outreach Specialist,Shop Assistant,Construction Director,Senior iOS Developer,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,Junior Accountant,Sales Manager,0.18420913930322036
Customer Support Representative,Sales Manager,"Escort; FP BB*, FSN 3",Marketing Assistant,Legal Adviser,Procurement Specialist,Assistant to the Chief,Accounting and Control Officer,Sales Manager,Secretary on Disability Issues,Designer,0.001054129552522005
Manager of Foreign Relations Department,IELTS Examiner,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Senior Java Tester,Construction Safety Engineer,Sales Director,0.7025246402782902
The Role of Information Technologies in Managing the Political,Web Developer,Intern at the Tax Department,Sales Consultant,Internal Control Inspector,Corporate Client Manager,4 Managers,Commercial Credit Relationship Manager,Secretary to the Director,"Financial Analyst, Economic Statistics Development Division,",Senior Specialist Internal Monitoring Department,0.10140726295261687
Post Conflict Economics: Case Study Armenia and Options for,Shop Manager,IT Reporting Team Leader,Business Development Consultant at Gyumri Technology Center,Receptionist Administrative Assistant,"Deputy Chief of Party (DCOP), HAPNK Program",Java Engineer,Bookkeeper,English Language Courses,Teleph1 Operator,MIS Operator,0.2905708111526907
Swatch Brand Manager,Native Near Native English Teacher,Corporate Banking Manager,Food Safety Regulatory Reform Consultant,Internet Assessor,Online Marketing Developer,Medical Representative,Counsel,Medical Representative,Accountant,Business Client Advisor,0.9648447794233911
Individual Manager,Administrative Assistant Interpreter,Sales Manager Preseller,Marketing Expert,Insurance Specialist,Senior ETL Informatica Developer,Internal Auditor,Financial Analyst Budget Controller,Electrical Engineer,Site Engineer,Leading Specialist Financial Reports and Analysis Department,0.362778685500448
Monitoring and Evaluation Officer,"Deputy Chief of State Service of Food Safety, SNCOs and",State Investments Management Trainer,Sales Director,Designer,Senior Java Tester,Product Manager,Java Developer,AutoCAD Designer,Country Economist (NOB),Sales Consultant,0.7734675591630211
Automated Test Engineer,Designer,Clinical Psychologist,Accountant,Web Engineer,Senior Software Developer,Program Experts,Head Engineer Mechanic of food (canning) industry,Lawyer,Local Governance Expert for Municipal Services,Product Manager,0.2589469245770305
Assistant Project Officer Education NOB,Regional Retail Executive,Accountant,Head of Master's Program with National Research University,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Installation Supervisor,Creative Manager,0.22068202182048174
Project and Communication Assistant,Creative Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,AutoCAD Designer,MA in Journalism,Java Developer,Credit and Debt Manager,0.4493227217625046
Irrigation and Water Management Specialist,Senior Java Tester,Online Marketing Developer,AutoCAD Designer,Internet Assessor,Food Safety Regulatory Reform Consultant,Creative Manager,Java Developer,Head of Nushikyan Print,Senior Database Engineer,Senior Loan Credit Provider Monitoring Specialist,0.06762241079428662
Rural Development Specialist,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Business Advisor Non Farm Rural Enterprises,Designer,Senior Java Tester,Visual Merchandiser,Web Designer,0.32182575238496813
Public Relations Coordinator,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Developer Team Leader,"Leading Specialist, Financial Market Operations Department",Senior Java Tester,Construction Safety Engineer,Visual Merchandiser,0.41353502345438253
Gender and Youth Programs Specialist,Food Safety Regulatory Reform Consultant,Sales Manager,Research and Development Engineer,Medical Representative,Native Near Native English Teacher,Corporate Banking Manager,AutoCAD Designer,Billing and Credit Control Consultant,Web Developer Designer,Medical Representative,0.5614293996732198
